name,class,ra,dec,file_path,filename,status,file_size_mb,shape,mean,std,min,max,rms,n_pixels,telescope,frequency,beam_maj,beam_min,units,peak_value,peak_location,background_rms,peak_snr
J1359+4905,WAT,209.935542,49.092694,./agn_cutouts/agn_J1359+4905_WAT_ra209.935542_dec49.092694.fits,agn_J1359+4905_WAT_ra209.935542_dec49.092694.fits,processed,1.2249755859375,"(400, 400)",2.6725337439723634e-05,0.00020274003720059078,-0.0002183190955719425,0.00917274050962866,0.0002044939274046152,160000,LOFAR,Unknown,0.001666666666666667,0.001666666666666667,JY/BEAM,0.00917274050962866,"(np.int64(201), np.int64(201))",4.8531498094571e-05,189.00592130401955
J1426+5547,WAT,216.526917,55.790694,./agn_cutouts/agn_J1426+5547_WAT_ra216.526917_dec55.790694.fits,agn_J1426+5547_WAT_ra216.526917_dec55.790694.fits,processed,1.2249755859375,"(400, 400)",5.6931896354832664e-05,0.00109620159538817,-0.0010633083045558562,0.08325173706350628,0.0010976789961341733,160000,LOFAR,Unknown,0.001666666666666667,0.001666666666666667,JY/BEAM,0.08325173706350628,"(np.int64(128), np.int64(313))",6.006985024004294e-05,1385.915508875535
J1428+5520,WAT,217.17675,55.347639,./agn_cutouts/agn_J1428+5520_WAT_ra217.17675_dec55.347639.fits,agn_J1428+5520_WAT_ra217.17675_dec55.347639.fits,processed,1.2249755859375,"(400, 400)",3.4555629455261525e-05,0.00047003021569387587,-0.0004028649566752615,0.023291272680866084,0.0004712987324322873,160000,LOFAR,Unknown,0.001666666666666667,0.001666666666666667,JY/BEAM,0.023291272680866084,"(np.int64(29), np.int64(76))",5.2989001293820754e-05,439.5491915712359
J1431+4743,WAT,217.960583,47.732528,./agn_cutouts/agn_J1431+4743_WAT_ra217.960583_dec47.732528.fits,agn_J1431+4743_WAT_ra217.960583_dec47.732528.fits,processed,1.2249755859375,"(400, 400)",3.890724697744281e-05,0.0006183889132519633,-0.0006289145132958047,0.05612000262364929,0.0006196116702421831,160000,LOFAR,Unknown,0.001666666666666667,0.001666666666666667,JY/BEAM,0.05612000262364929,"(np.int64(200), np.int64(201))",6.713033057360515e-05,835.9857927724105
J1434+4951,WAT,218.674792,49.852694,./agn_cutouts/agn_J1434+4951_WAT_ra218.674792_dec49.852694.fits,agn_J1434+4951_WAT_ra218.674792_dec49.852694.fits,processed,1.2249755859375,"(400, 400)",6.0546504298890244e-05,0.0003872541697779465,-0.00036889852630262436,0.013392797356633412,0.00039195876210798265,160000,LOFAR,Unknown,0.001666666666666667,0.001666666666666667,JY/BEAM,0.013392797356633412,"(np.int64(382), np.int64(43))",5.513772619710921e-05,242.8971646156779
J1439+5631,WAT,219.8305,56.527611,./agn_cutouts/agn_J1439+5631_WAT_ra219.8305_dec56.527611.fits,agn_J1439+5631_WAT_ra219.8305_dec56.527611.fits,processed,1.2249755859375,"(400, 400)",1.8961334889247555e-05,0.00036951458900227077,-0.00025384922325446483,0.02266762103310311,0.0003700007617644852,160000,LOFAR,Unknown,0.001666666666666667,0.001666666666666667,JY/BEAM,0.02266762103310311,"(np.int64(83), np.int64(328))",5.1652067092174474e-05,438.8521565391012
J1446+4841,WAT,221.528042,48.694444,./agn_cutouts/agn_J1446+4841_WAT_ra221.528042_dec48.694444.fits,agn_J1446+4841_WAT_ra221.528042_dec48.694444.fits,processed,1.2249755859375,"(400, 400)",5.7174267237675624e-05,0.0003641907603258474,-0.0006864750725350375,0.021050260329021922,0.00036865133492350734,160000,LOFAR,Unknown,0.001666666666666667,0.001666666666666667,JY/BEAM,0.021050260329021922,"(np.int64(319), np.int64(137))",8.294004641049394e-05,253.80092295630246
J1459+4947,WAT,224.927542,49.788194,./agn_cutouts/agn_J1459+4947_WAT_ra224.927542_dec49.788194.fits,agn_J1459+4947_WAT_ra224.927542_dec49.788194.fits,processed,1.2249755859375,"(400, 400)",0.00022688472048385425,0.005400056850512932,-0.0012854470628306685,0.49154124087218926,0.005404821057644804,160000,LOFAR,Unknown,0.001666666666666667,0.001666666666666667,JY/BEAM,0.49154124087218926,"(np.int64(94), np.int64(351))",7.057137320672629e-05,6965.164747925573
J1459+5334,WAT,224.899833,53.572167,./agn_cutouts/agn_J1459+5334_WAT_ra224.899833_dec53.572167.fits,agn_J1459+5334_WAT_ra224.899833_dec53.572167.fits,processed,1.2249755859375,"(400, 400)",6.55932809396008e-05,0.0008919554014700156,-0.0015250978907158173,0.09082478241470704,0.0008943639732882573,160000,LOFAR,Unknown,0.001666666666666667,0.001666666666666667,JY/BEAM,0.09082478241470704,"(np.int64(9), np.int64(265))",8.134329636490948e-05,1116.5613698179036
J1523+5255,WAT,230.86275,52.918722,./agn_cutouts/agn_J1523+5255_WAT_ra230.86275_dec52.918722.fits,agn_J1523+5255_WAT_ra230.86275_dec52.918722.fits,processed,1.2249755859375,"(400, 400)",2.7913440003887663e-05,0.0004483673122236767,-0.0004042634399861798,0.01650438083570686,0.0004492353579178008,160000,LOFAR,Unknown,0.001666666666666667,0.001666666666666667,JY/BEAM,0.01650438083570686,"(np.int64(189), np.int64(183))",6.0785586587718647e-05,271.51799895670445
J1132+5459,NAT,173.00825,54.99775,./agn_cutouts/agn_J1132+5459_NAT_ra173.00825_dec54.99775.fits,agn_J1132+5459_NAT_ra173.00825_dec54.99775.fits,processed,1.2249755859375,"(400, 400)",5.877716858520154e-06,9.741180388177477e-05,-0.00025604984721803694,0.005048282283631909,9.758897012967333e-05,160000,LOFAR,Unknown,0.001666666666666667,0.001666666666666667,JY/BEAM,0.005048282283631909,"(np.int64(176), np.int64(205))",4.558468310968423e-05,110.74514374674742
J1147+4805,NAT,176.951792,48.097,./agn_cutouts/agn_J1147+4805_NAT_ra176.951792_dec48.097.fits,agn_J1147+4805_NAT_ra176.951792_dec48.097.fits,processed,1.2249755859375,"(400, 400)",3.7179707796384366e-05,0.0006369025079073758,-0.000848451485058897,0.05065313670321092,0.0006379867829747961,160000,LOFAR,Unknown,0.001666666666666667,0.001666666666666667,JY/BEAM,0.05065313670321092,"(np.int64(261), np.int64(206))",5.155578932417297e-05,982.4917311364134
J1207+4805,NAT,181.831,48.099639,./agn_cutouts/agn_J1207+4805_NAT_ra181.831_dec48.099639.fits,agn_J1207+4805_NAT_ra181.831_dec48.099639.fits,processed,1.2249755859375,"(400, 400)",0.0001559870147715045,0.0054912874815739345,-0.0037579567810864245,0.6417545267148264,0.0054935025397343665,160000,LOFAR,Unknown,0.001666666666666667,0.001666666666666667,JY/BEAM,0.6417545267148264,"(np.int64(37), np.int64(315))",0.00015407755538443096,4165.139595534325
