name,class,n_sources,n_gaussians,peak_flux_jy,rms_noise_jy,dynamic_range,mean_flux,std_flux,min_flux,max_flux,status
J1249+4954,WAT,61,82,0.03836312957389612,0.0004717904483654574,81.31391745383397,3.79754770044499e-05,0.0004717904483654574,-0.00033404209131777495,0.03836312957389612,success
J1315+4841,WAT,54,80,0.06995645182114466,0.0011932115607953694,58.62870769917212,8.33976408388668e-05,0.0011932115607953694,-0.0003955170796913921,0.06995645182114466,success
J1224+5419,WAT,50,61,0.02201693591050866,0.00032945763120924504,66.82782192568267,3.150030887721358e-05,0.00032945763120924504,-0.00026506342975010725,0.02201693591050866,success
J1510+5146,NAT,31,48,0.01207411638672292,0.000319062834743935,37.84244064782113,3.912339101672314e-05,0.000319062834743935,-0.0002996355888205584,0.01207411638672292,success
J1325+5617,WAT,45,51,0.01302925184934815,0.00018635146968678213,69.91762324841118,2.355680226796758e-05,0.00018635146968678213,-0.00021462686964256533,0.01302925184934815,success
J1247+4852,WAT,49,68,0.02418273889437663,0.0003870780796176489,62.475092669324106,3.2507145285767824e-05,0.0003870780796176489,-0.00026286272683775767,0.02418273889437663,success
J1329+5246,NAT,36,50,0.021661484920500584,0.0003352514443398845,64.61265204435553,2.1249009608354232e-05,0.0003352514443398845,-0.00033267436695740433,0.021661484920500584,success
J1325+5544,NAT,48,68,0.37424009465196045,0.003200318066488299,116.93840639490348,8.861678230338992e-05,0.003200318066488299,-0.0011523968979744686,0.37424009465196045,success
J1115+4834,WAT,26,39,0.05313700406239106,0.0005209777344126201,101.99476974251259,4.8512833391822545e-05,0.0005209777344126201,-0.0014324073416327142,0.05313700406239106,success
J1426+5547,WAT,34,58,0.08325173706350628,0.00109620159538817,75.94564486473536,5.6931896354832664e-05,0.00109620159538817,-0.0010633083045558562,0.08325173706350628,success
J1346+5250,WAT,44,60,0.017449200655668774,0.00027991605108009237,62.337263577200275,3.439029469014473e-05,0.00027991605108009237,-0.0002560201227178712,0.017449200655668774,success
J1115+4729,WAT,41,52,0.01708143890376695,0.00021715626347156713,78.65966484546493,1.5021086294948335e-05,0.00021715626347156713,-0.00039444721845699547,0.01708143890376695,success
J1113+4952,WAT,18,28,0.015366075992133904,0.00037196551435505034,41.310485513091415,2.076148915324418e-05,0.00037196551435505034,-0.0002925051719226423,0.015366075992133904,success
J1236+5525,WAT,46,69,0.0491156947630447,0.0006648740178629274,73.8721824638522,3.789069651969322e-05,0.0006648740178629274,-0.00026246289988795,0.0491156947630447,success
J1101+5603,WAT,34,58,0.008912619457461947,0.0002481195348637106,35.92066808587866,2.31605532183652e-05,0.0002481195348637106,-0.0002788549683698795,0.008912619457461947,success
J1446+4841,WAT,20,26,0.021050260329021922,0.0003641907603258474,57.800094407084664,5.7174267237675624e-05,0.0003641907603258474,-0.0006864750725350375,0.021050260329021922,success
J1428+5520,WAT,34,53,0.023291272680866084,0.00047003021569387587,49.55271364093615,3.4555629455261525e-05,0.00047003021569387587,-0.0004028649566752615,0.023291272680866084,success
J1303+4935,WAT,51,90,0.029575158294262084,0.000512056190327045,57.75764233095734,5.3146524058671285e-05,0.000512056190327045,-0.00039624531000568837,0.029575158294262084,success
J1330+4730,WAT,60,77,0.027466526761158166,0.00031377997551014167,87.53435179062413,1.899841462873675e-05,0.00031377997551014167,-0.00023801449902469886,0.027466526761158166,success
J1114+4611,WAT,23,40,0.013111449119336219,0.0003968964261787685,33.03493872587961,3.3613981837999776e-05,0.0003968964261787685,-0.0003743756443670378,0.013111449119336219,success
J1207+4805,NAT,32,44,0.6417545267148264,0.0054912874815739345,116.8677707856745,0.0001559870147715045,0.0054912874815739345,-0.0037579567810864245,0.6417545267148264,success
J1303+4743,WAT,26,40,0.01710822685042311,0.0003532149532067924,48.435737771291265,2.1463196289298425e-05,0.0003532149532067924,-0.00035223582078912623,0.01710822685042311,success
J1105+4800,WAT,40,53,0.009707640901637452,0.00016552227043179271,58.648548478180224,1.3886590985005373e-05,0.00016552227043179271,-0.00027447749466599845,0.009707640901637452,success
J1439+5631,WAT,16,28,0.02266762103310311,0.00036951458900227077,61.344319568837946,1.8961334889247555e-05,0.00036951458900227077,-0.00025384922325446483,0.02266762103310311,success
J1303+5220,WAT,27,46,0.020591072033405065,0.0003462247581722642,59.47313572289355,2.8041648273806596e-05,0.0003462247581722642,-0.0002665490024672251,0.020591072033405065,success
J1506+5311,NAT,23,34,0.0099819326684787,0.0002428480648285579,41.10361215159606,4.059539531960731e-05,0.0002428480648285579,-0.00041444017405986496,0.0099819326684787,success
J1112+5151,WAT,26,42,0.01473826652456566,0.0002635745003283048,55.916890693932366,1.8169875537377412e-05,0.0002635745003283048,-0.00029899992282942414,0.01473826652456566,success
J1344+5552,WAT,28,38,0.22668500706991992,0.0020879459617848886,108.56842620397003,7.008793261254323e-05,0.0020879459617848886,-0.0005204711700707638,0.22668500706991992,success
J1154+4949,WAT,40,47,0.008324927454076217,0.00014804365349160037,56.23292358526232,6.369167418493728e-06,0.00014804365349160037,-0.0002390964686543426,0.008324927454076217,success
J1124+5546,WAT,47,53,0.0035478379656381943,8.263441734523962e-05,42.93414390296511,5.232552258906749e-06,8.263441734523962e-05,-0.00017108732311667084,0.0035478379656381943,success
J1147+4917,WAT,25,30,0.0034365112126759473,9.912915065865059e-05,34.667009551100776,4.820848173598868e-06,9.912915065865059e-05,-0.0002293454136282978,0.0034365112126759473,success
J1051+5041,WAT,4,26,2.1137432966554144,0.1471512639537317,14.364425013162183,0.016907009867746816,0.1471512639537317,-0.39224002516183426,2.1137432966554144,success
J1351+5216,WAT,31,38,0.016409848578312573,0.00018132799264177274,90.49815386602485,7.3692928197489256e-06,0.00018132799264177274,-0.00023399981259968907,0.016409848578312573,success
J1049+4619,WAT,4,26,2.1137432966554144,0.1471512639537317,14.364425013162183,0.016907009867746816,0.1471512639537317,-0.39224002516183426,2.1137432966554144,success
J1459+4947,WAT,39,91,0.49154124087218926,0.005400056850512932,91.02519741537527,0.00022688472048385425,0.005400056850512932,-0.0012854470628306685,0.49154124087218926,success
